date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,flood,label_hujan
12/11/2016,26.0,32.4,27.4,82.0,0.2,0.4,7.0,260.0,7.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/12/2016,24.0,32.0,27.3,80.0,17.0,4.8,4.0,230.0,5.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/15/2016,23.6,33.0,27.3,80.0,9.4,5.9,7.0,240.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/16/2016,25.4,33.0,28.2,78.0,0.5,2.7,4.0,240.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/18/2016,24.6,32.6,27.7,84.0,14.0,4.6,5.0,260.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/19/2016,25.0,31.7,27.5,83.0,12.5,2.9,6.0,230.0,7.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/20/2016,25.4,34.0,28.8,76.0,1.0,7.4,6.0,230.0,7.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/23/2016,25.6,33.0,28.2,85.0,0.4,4.5,7.0,250.0,10.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/26/2016,25.4,34.6,28.4,76.0,2.5,4.3,5.0,230.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/27/2016,24.9,31.8,27.3,79.0,0.7,5.2,6.0,270.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/31/2016,24.6,35.2,29.0,76.0,0.1,7.1,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/1/2017,24.0,29.0,24.9,94.0,6.0,0.5,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/2/2017,23.0,30.6,26.2,85.0,19.0,1.5,4.0,270.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/3/2017,24.0,29.2,25.0,88.0,0.5,0.6,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/4/2017,23.0,31.0,26.5,85.0,20.0,4.9,6.0,250.0,9.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/1/2017,24.0,29.0,24.9,94.0,6.0,0.5,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/2/2017,23.0,30.6,26.2,85.0,19.0,1.5,4.0,270.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/3/2017,24.0,29.2,25.0,88.0,0.5,0.6,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/4/2017,23.0,31.0,26.5,85.0,20.0,4.9,6.0,250.0,9.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/8/2017,24.0,32.0,27.4,86.0,1.2,4.3,5.0,230.0,5.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/10/2017,24.0,28.0,25.3,93.0,34.5,0.0,4.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/11/2017,23.0,27.8,25.4,92.0,8.5,0.1,4.0,270.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/12/2017,24.0,29.0,26.0,91.0,29.0,1.0,4.0,270.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/13/2017,24.0,31.0,26.6,84.0,15.0,7.1,5.0,280.0,6.0,NW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/14/2017,22.0,30.6,26.1,89.0,39.5,1.0,3.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/15/2017,21.0,32.0,26.5,84.0,15.7,7.3,5.0,260.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/16/2017,24.0,30.2,26.7,84.0,2.0,4.4,4.0,270.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/17/2017,24.0,32.2,27.1,82.0,13.5,5.7,4.0,270.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/19/2017,25.0,29.6,26.3,93.0,7.3,0.0,3.0,270.0,3.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/20/2017,25.0,27.2,25.8,93.0,17.8,0.0,46.0,4.0,46.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/21/2017,20.0,30.2,25.5,90.0,73.8,2.1,3.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/22/2017,24.0,34.0,27.2,84.0,9.4,7.2,4.0,270.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/23/2017,24.0,33.4,26.5,88.0,2.0,5.1,3.0,250.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
2/24/2017,24.0,31.8,26.8,85.0,31.0,3.5,3.0,270.0,3.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/26/2017,24.0,33.0,27.7,81.0,41.6,6.9,4.0,170.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
2/27/2017,24.0,32.2,27.5,84.0,3.4,4.5,4.0,270.0,4.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/3/2017,25.0,33.0,27.0,89.0,33.0,6.0,5.0,270.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/4/2017,24.0,32.8,26.7,85.0,30.7,5.0,5.0,240.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/5/2017,24.0,34.2,27.4,83.0,1.5,7.0,3.0,230.0,3.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/7/2017,24.0,31.0,25.8,90.0,18.8,2.6,4.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/8/2017,24.0,32.8,27.6,82.0,30.5,1.7,3.0,270.0,1.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
3/18/2017,24.0,30.6,26.7,84.0,57.0,0.2,5.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
3/19/2017,25.0,33.8,27.5,80.0,3.6,0.2,3.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
3/21/2017,24.0,32.0,27.4,85.0,23.0,2.6,4.0,220.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
3/22/2017,24.0,30.6,26.7,88.0,37.0,2.9,4.0,260.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
3/26/2017,26.0,32.6,26.0,92.0,2.1,0.8,3.0,240.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
3/30/2017,25.0,33.0,27.7,82.0,0.6,5.5,7.0,260.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
